"Région","Année","Temp_Max","Temp_Min"
"Bourgogne-Franche-Comté",2011,16.2071115742338,6.65223016875221
"Normandie",2011,16.3909785144178,7.65212218762714
"Hauts-de-France",2011,15.7172238895077,7.2021995983632
"Grand Est",2011,15.8711220411927,6.33642599204691
"Pays de la Loire",2011,17.8820926164575,8.54710091621645
"Bretagne",2011,16.5833912403789,8.86814803696121
"Nouvelle-Aquitaine",2011,18.9002896326193,8.44192796900536
"Occitanie",2011,18.2041430845954,7.81023436765039
"Auvergne-Rhône-Alpes",2011,15.6393570921809,5.56643665352145
"Provence-Alpes-Côte d'Azur",2011,16.2152623127286,7.00397688728948
"Corse",2011,17.5296024899964,11.1691590317892
"Île-de-France",2012,15.6967610797706,6.78035792688764
"Centre-Val de Loire",2012,16.4057122778583,7.05838745116413
"Bourgogne-Franche-Comté",2012,15.1843694489687,6.1888990452949
